PERSONID,SUBJECT_Pref,SUBJECT_Pref_Level,SUBJECT_Teach_Mapping
109503,SPED,3,GeneralEd
109503,SPANISH,3,ForeignLanguage
109503,MSGENERALIST,2,GeneralEd
109503,BIOLOGY,3,Science
109503,ELEMENTARY,3,GeneralEd
109503,PREK,3,OtherSubjects
109503,HSMATH,3,Math
109503,ESL,3,English
109503,HISTORY,1,SocialStudies
109503,MSMATH,3,Math
108346,SPED,1,GeneralEd
108346,BILINGUAL,3,ForeignLanguage
108346,MSGENSCIENCE,1,Science
108346,HSGENSCIENCE,1,Science
108346,FRENCH,3,ForeignLanguage
108346,COMPUTERSCI,2,Math
108346,CHEMISTRY,2,Science
108346,SPANISH,3,ForeignLanguage
108346,MSMATH,1,Math
108346,ELEMENTARY,3,GeneralEd
108346,ENGLISH,2,English
108346,PREK,3,OtherSubjects
108346,BIOLOGY,1,Science
108346,HSMATH,1,Math
108346,ARTS,3,Humanities
108346,MUSIC,3,OtherSubjects
108346,HISTORY,2,SocialStudies
108346,MSGENERALIST,1,GeneralEd
108346,PHYSICS,3,Science
108346,ESL,2,English
103091,PHYSICS,3,Science
103091,ESL,2,English
103091,SPED,2,GeneralEd
103091,HSGENSCIENCE,2,Science
103091,FRENCH,3,ForeignLanguage
103091,SPANISH,3,ForeignLanguage
103091,ELEMENTARY,1,GeneralEd
103091,COMPUTERSCI,2,Math
103091,ARTS,3,Humanities
103091,MSGENERALIST,1,GeneralEd
103091,HSMATH,3,Math
103091,PREK,3,OtherSubjects
103091,CHEMISTRY,3,Science
103091,ENGLISH,1,English
103091,BIOLOGY,2,Science
103091,BILINGUAL,3,ForeignLanguage
103091,HISTORY,1,SocialStudies
103091,MUSIC,3,OtherSubjects
103091,MSGENSCIENCE,2,Science
103091,MSMATH,3,Math
101438,PHYSICS,3,Science
101438,FRENCH,3,ForeignLanguage
101438,HSGENSCIENCE,3,Science
101438,ELEMENTARY,2,GeneralEd
101438,BILINGUAL,3,ForeignLanguage
101438,HISTORY,1,SocialStudies
101438,COMPUTERSCI,3,Math
101438,MSMATH,3,Math
101438,MSGENERALIST,2,GeneralEd
101438,ARTS,3,Humanities
101438,ENGLISH,1,English
101438,BIOLOGY,3,Science
101438,ESL,3,English
101438,HSMATH,3,Math
101438,CHEMISTRY,3,Science
101438,PREK,3,OtherSubjects
101438,SPANISH,3,ForeignLanguage
101438,SPED,3,GeneralEd
101438,MUSIC,3,OtherSubjects
101438,MSGENSCIENCE,3,Science
100306,BILINGUAL,3,ForeignLanguage
100306,MUSIC,3,OtherSubjects
100306,MSGENERALIST,2,GeneralEd
100306,ESL,3,English
100306,HSMATH,3,Math
100306,ELEMENTARY,2,GeneralEd
100306,COMPUTERSCI,3,Math
100306,ARTS,3,Humanities
100306,MSGENSCIENCE,3,Science
100306,BIOLOGY,3,Science
100306,MSMATH,3,Math
100306,ENGLISH,1,English
100306,SPANISH,3,ForeignLanguage
100306,FRENCH,3,ForeignLanguage
100306,PREK,3,OtherSubjects
100306,HSGENSCIENCE,3,Science
100306,CHEMISTRY,3,Science
100306,HISTORY,1,SocialStudies
100306,SPED,3,GeneralEd
100306,PHYSICS,3,Science
104511,MSMATH,2,Math
104511,MSGENERALIST,1,GeneralEd
104511,BILINGUAL,1,ForeignLanguage
104511,CHEMISTRY,3,Science
104511,ARTS,2,Humanities
104511,MUSIC,3,OtherSubjects
104511,COMPUTERSCI,3,Math
104511,SPANISH,1,ForeignLanguage
104511,PHYSICS,3,Science
104511,ENGLISH,1,English
104511,ELEMENTARY,1,GeneralEd
104511,PREK,1,OtherSubjects
104511,HISTORY,2,SocialStudies
104511,MSGENSCIENCE,1,Science
104511,HSMATH,2,Math
104511,FRENCH,3,ForeignLanguage
104511,BIOLOGY,2,Science
104511,SPED,2,GeneralEd
104511,HSGENSCIENCE,1,Science
104511,ESL,1,English
109793,HSGENSCIENCE,1,Science
109793,PHYSICS,2,Science
109793,COMPUTERSCI,3,Math
109793,ENGLISH,3,English
109793,HISTORY,3,SocialStudies
109793,BILINGUAL,3,ForeignLanguage
109793,ESL,3,English
109793,ELEMENTARY,1,GeneralEd
109793,FRENCH,3,ForeignLanguage
109793,BIOLOGY,1,Science
109793,HSMATH,3,Math
109793,MSMATH,2,Math
109793,MSGENERALIST,3,GeneralEd
109793,CHEMISTRY,1,Science
109793,SPED,3,GeneralEd
109793,MSGENSCIENCE,1,Science
109793,PREK,2,OtherSubjects
109793,SPANISH,3,ForeignLanguage
109793,MUSIC,3,OtherSubjects
109793,ARTS,3,Humanities
103919,PHYSICS,3,Science
103919,MSGENSCIENCE,3,Science
103919,MSMATH,3,Math
103919,MSGENERALIST,2,GeneralEd
103919,HISTORY,1,SocialStudies
103919,FRENCH,3,ForeignLanguage
103919,BILINGUAL,3,ForeignLanguage
103919,HSGENSCIENCE,3,Science
103919,BIOLOGY,3,Science
103919,PREK,1,OtherSubjects
103919,COMPUTERSCI,2,Math
103919,SPED,3,GeneralEd
103919,ENGLISH,1,English
103919,HSMATH,3,Math
103919,CHEMISTRY,3,Science
103919,ESL,3,English
103919,MUSIC,1,OtherSubjects
103919,ARTS,1,Humanities
103919,SPANISH,3,ForeignLanguage
103919,ELEMENTARY,2,GeneralEd
100411,HSGENSCIENCE,1,Science
100411,PHYSICS,2,Science
100411,HSMATH,2,Math
100411,ENGLISH,3,English
100411,MSMATH,2,Math
100411,ESL,3,English
100411,CHEMISTRY,1,Science
100411,ELEMENTARY,3,GeneralEd
100411,BILINGUAL,3,ForeignLanguage
100411,MSGENSCIENCE,2,Science
100411,SPED,3,GeneralEd
100411,BIOLOGY,1,Science
100411,MSGENERALIST,2,GeneralEd
100411,HISTORY,3,SocialStudies
100411,SPANISH,3,ForeignLanguage
100411,COMPUTERSCI,3,Math
100411,FRENCH,2,ForeignLanguage
100411,PREK,3,OtherSubjects
100411,ARTS,3,Humanities
100411,MUSIC,3,OtherSubjects
109508,BILINGUAL,3,ForeignLanguage
109508,SPED,1,GeneralEd
109508,HISTORY,1,SocialStudies
109508,SPANISH,3,ForeignLanguage
109508,ELEMENTARY,2,GeneralEd
109508,COMPUTERSCI,3,Math
109508,FRENCH,3,ForeignLanguage
109508,MSGENSCIENCE,3,Science
109508,BIOLOGY,3,Science
109508,CHEMISTRY,3,Science
109508,ESL,3,English
109508,MSGENERALIST,1,GeneralEd
109508,ARTS,3,Humanities
109508,MSMATH,2,Math
109508,PREK,1,OtherSubjects
109508,ENGLISH,2,English
109508,PHYSICS,3,Science
109508,HSMATH,3,Math
109508,HSGENSCIENCE,3,Science
109508,MUSIC,3,OtherSubjects
107918,FRENCH,3,ForeignLanguage
107918,SPANISH,2,ForeignLanguage
107918,SPED,3,GeneralEd
107918,CHEMISTRY,3,Science
107918,ESL,2,English
107918,PREK,2,OtherSubjects
107918,ENGLISH,2,English
107918,BILINGUAL,3,ForeignLanguage
107918,BIOLOGY,3,Science
107918,MSMATH,2,Math
107918,ARTS,2,Humanities
107918,ELEMENTARY,1,GeneralEd
107918,HSMATH,3,Math
107918,PHYSICS,3,Science
107918,HISTORY,3,SocialStudies
107918,MSGENSCIENCE,3,Science
107918,HSGENSCIENCE,3,Science
107918,MUSIC,3,OtherSubjects
107918,COMPUTERSCI,2,Math
107918,MSGENERALIST,2,GeneralEd
107174,SPED,3,GeneralEd
107174,ARTS,1,Humanities
107174,COMPUTERSCI,3,Math
107174,BIOLOGY,2,Science
107174,MSGENERALIST,2,GeneralEd
107174,HSGENSCIENCE,1,Science
107174,FRENCH,3,ForeignLanguage
107174,MSGENSCIENCE,2,Science
107174,HSMATH,3,Math
107174,PHYSICS,3,Science
107174,HISTORY,1,SocialStudies
107174,SPANISH,3,ForeignLanguage
107174,MSMATH,2,Math
107174,PREK,1,OtherSubjects
107174,ENGLISH,1,English
107174,ELEMENTARY,1,GeneralEd
107174,BILINGUAL,3,ForeignLanguage
107174,MUSIC,3,OtherSubjects
107174,ESL,1,English
107174,CHEMISTRY,3,Science
107794,HSGENSCIENCE,3,Science
107794,MSMATH,2,Math
107794,SPED,1,GeneralEd
107794,MSGENSCIENCE,3,Science
107794,HSMATH,1,Math
107794,CHEMISTRY,3,Science
107794,MUSIC,3,OtherSubjects
107794,PHYSICS,3,Science
107794,ELEMENTARY,1,GeneralEd
107794,COMPUTERSCI,3,Math
107794,PREK,3,OtherSubjects
107794,FRENCH,3,ForeignLanguage
107794,BILINGUAL,3,ForeignLanguage
107794,HISTORY,3,SocialStudies
107794,ENGLISH,3,English
107794,MSGENERALIST,2,GeneralEd
107794,ESL,3,English
107794,BIOLOGY,3,Science
107794,SPANISH,3,ForeignLanguage
107794,ARTS,3,Humanities
108049,MSGENSCIENCE,3,Science
108049,BIOLOGY,3,Science
108049,SPED,1,GeneralEd
108049,MSGENERALIST,2,GeneralEd
108049,MSMATH,3,Math
108049,FRENCH,3,ForeignLanguage
108049,ARTS,3,Humanities
108049,COMPUTERSCI,3,Math
108049,PREK,1,OtherSubjects
108049,SPANISH,1,ForeignLanguage
108049,MUSIC,3,OtherSubjects
108049,HSMATH,3,Math
108049,ENGLISH,2,English
108049,ESL,1,English
108049,HISTORY,2,SocialStudies
108049,BILINGUAL,1,ForeignLanguage
108049,ELEMENTARY,1,GeneralEd
108049,PHYSICS,3,Science
108049,HSGENSCIENCE,3,Science
108049,CHEMISTRY,3,Science
107384,MSMATH,3,Math
107384,ELEMENTARY,2,GeneralEd
107384,ESL,2,English
107384,MSGENERALIST,2,GeneralEd
107384,HSGENSCIENCE,3,Science
107384,HSMATH,3,Math
107384,CHEMISTRY,3,Science
107384,SPED,1,GeneralEd
107384,MSGENSCIENCE,3,Science
107384,PHYSICS,3,Science
107384,BILINGUAL,3,ForeignLanguage
107384,MUSIC,1,OtherSubjects
107384,SPANISH,3,ForeignLanguage
107384,ARTS,1,Humanities
107384,FRENCH,3,ForeignLanguage
107384,COMPUTERSCI,2,Math
107384,HISTORY,1,SocialStudies
107384,BIOLOGY,3,Science
107384,ENGLISH,1,English
107384,PREK,3,OtherSubjects
100803,HISTORY,1,SocialStudies
100803,CHEMISTRY,3,Science
100803,ESL,1,English
100803,MUSIC,1,OtherSubjects
100803,MSGENERALIST,3,GeneralEd
100803,HSMATH,3,Math
100803,SPANISH,1,ForeignLanguage
100803,SPED,3,GeneralEd
100803,MSGENSCIENCE,3,Science
100803,ELEMENTARY,3,GeneralEd
100803,ARTS,1,Humanities
100803,ENGLISH,1,English
100803,COMPUTERSCI,3,Math
100803,HSGENSCIENCE,3,Science
100803,FRENCH,3,ForeignLanguage
100803,MSMATH,3,Math
100803,PHYSICS,3,Science
100803,BIOLOGY,3,Science
100803,PREK,3,OtherSubjects
100803,BILINGUAL,1,ForeignLanguage
107846,BILINGUAL,3,ForeignLanguage
107846,ESL,3,English
107846,FRENCH,3,ForeignLanguage
107846,ENGLISH,3,English
107846,SPANISH,3,ForeignLanguage
107846,MSMATH,1,Math
107846,PHYSICS,3,Science
107846,MSGENSCIENCE,1,Science
107846,BIOLOGY,3,Science
107846,COMPUTERSCI,2,Math
107846,CHEMISTRY,3,Science
107846,MSGENERALIST,2,GeneralEd
107846,HISTORY,3,SocialStudies
107846,ELEMENTARY,1,GeneralEd
107846,HSMATH,1,Math
107846,ARTS,3,Humanities
107846,SPED,2,GeneralEd
107846,HSGENSCIENCE,2,Science
107846,MUSIC,3,OtherSubjects
107846,PREK,1,OtherSubjects
100194,HSMATH,3,Math
100194,MUSIC,2,OtherSubjects
100194,MSGENERALIST,3,GeneralEd
100194,BILINGUAL,3,ForeignLanguage
100194,PHYSICS,3,Science
100194,SPED,3,GeneralEd
100194,MSGENSCIENCE,3,Science
100194,HSGENSCIENCE,3,Science
100194,BIOLOGY,3,Science
100194,FRENCH,3,ForeignLanguage
100194,SPANISH,3,ForeignLanguage
100194,COMPUTERSCI,1,Math
100194,ESL,1,English
100194,ELEMENTARY,2,GeneralEd
100194,ARTS,1,Humanities
100194,PREK,2,OtherSubjects
100194,ENGLISH,1,English
100194,MSMATH,3,Math
100194,HISTORY,1,SocialStudies
100194,CHEMISTRY,3,Science
101865,HISTORY,3,SocialStudies
101865,ARTS,3,Humanities
101865,ENGLISH,3,English
101865,MUSIC,3,OtherSubjects
101865,PREK,3,OtherSubjects
101865,CHEMISTRY,2,Science
101865,ELEMENTARY,1,GeneralEd
101865,SPED,3,GeneralEd
101865,BIOLOGY,2,Science
101865,COMPUTERSCI,3,Math
101865,HSGENSCIENCE,2,Science
101865,SPANISH,3,ForeignLanguage
101865,BILINGUAL,3,ForeignLanguage
101865,PHYSICS,3,Science
101865,MSMATH,2,Math
101865,FRENCH,3,ForeignLanguage
101865,ESL,3,English
101865,HSMATH,3,Math
101865,MSGENERALIST,2,GeneralEd
101865,MSGENSCIENCE,1,Science
109137,PREK,3,OtherSubjects
109137,FRENCH,3,ForeignLanguage
109137,ARTS,3,Humanities
109137,SPED,3,GeneralEd
109137,MUSIC,3,OtherSubjects
109137,HSGENSCIENCE,1,Science
109137,SPANISH,3,ForeignLanguage
109137,MSMATH,2,Math
109137,ESL,3,English
109137,COMPUTERSCI,1,Math
109137,CHEMISTRY,2,Science
109137,BIOLOGY,2,Science
109137,BILINGUAL,3,ForeignLanguage
109137,MSGENERALIST,3,GeneralEd
109137,ELEMENTARY,2,GeneralEd
109137,PHYSICS,1,Science
109137,HSMATH,1,Math
109137,HISTORY,2,SocialStudies
109137,MSGENSCIENCE,3,Science
109137,ENGLISH,3,English
103118,PHYSICS,3,Science
103118,HSMATH,2,Math
103118,SPANISH,1,ForeignLanguage
103118,FRENCH,3,ForeignLanguage
103118,ESL,3,English
103118,ELEMENTARY,3,GeneralEd
103118,SPED,3,GeneralEd
103118,ARTS,3,Humanities
103118,CHEMISTRY,3,Science
103118,HSGENSCIENCE,2,Science
103118,ENGLISH,1,English
103118,MSGENSCIENCE,2,Science
103118,MUSIC,3,OtherSubjects
103118,COMPUTERSCI,3,Math
103118,MSGENERALIST,2,GeneralEd
103118,HISTORY,1,SocialStudies
103118,BILINGUAL,1,ForeignLanguage
103118,BIOLOGY,2,Science
103118,MSMATH,2,Math
103118,PREK,3,OtherSubjects
104618,HSGENSCIENCE,1,Science
104618,ENGLISH,2,English
104618,SPANISH,3,ForeignLanguage
104618,BILINGUAL,3,ForeignLanguage
104618,FRENCH,3,ForeignLanguage
104618,HSMATH,1,Math
104618,MSMATH,1,Math
104618,ESL,2,English
104618,COMPUTERSCI,2,Math
104618,HISTORY,2,SocialStudies
104618,PHYSICS,1,Science
104618,MSGENSCIENCE,1,Science
104618,ARTS,3,Humanities
104618,CHEMISTRY,1,Science
104618,MUSIC,2,OtherSubjects
104618,ELEMENTARY,2,GeneralEd
104618,SPED,2,GeneralEd
104618,PREK,3,OtherSubjects
104618,MSGENERALIST,2,GeneralEd
104618,BIOLOGY,2,Science
101526,PHYSICS,2,Science
101526,BILINGUAL,3,ForeignLanguage
101526,COMPUTERSCI,3,Math
101526,MSGENSCIENCE,2,Science
101526,MUSIC,1,OtherSubjects
101526,SPANISH,3,ForeignLanguage
101526,SPED,3,GeneralEd
101526,BIOLOGY,3,Science
101526,ESL,3,English
101526,CHEMISTRY,2,Science
101526,HSMATH,1,Math
101526,ELEMENTARY,3,GeneralEd
101526,MSMATH,1,Math
101526,HSGENSCIENCE,2,Science
101526,HISTORY,1,SocialStudies
101526,PREK,3,OtherSubjects
101526,ENGLISH,3,English
101526,ARTS,3,Humanities
101526,FRENCH,3,ForeignLanguage
101526,MSGENERALIST,2,GeneralEd
104625,ARTS,3,Humanities
104625,ELEMENTARY,1,GeneralEd
104625,HSGENSCIENCE,3,Science
104625,CHEMISTRY,3,Science
104625,HISTORY,3,SocialStudies
104625,BIOLOGY,3,Science
104625,SPED,3,GeneralEd
104625,MSMATH,3,Math
104625,COMPUTERSCI,3,Math
104625,HSMATH,3,Math
104625,MSGENSCIENCE,3,Science
104625,ENGLISH,3,English
104625,PREK,2,OtherSubjects
104625,BILINGUAL,3,ForeignLanguage
104625,ESL,3,English
104625,PHYSICS,3,Science
104625,MSGENERALIST,3,GeneralEd
104625,MUSIC,3,OtherSubjects
104625,FRENCH,3,ForeignLanguage
104625,SPANISH,3,ForeignLanguage
104292,ELEMENTARY,1,GeneralEd
104292,HSGENSCIENCE,2,Science
104292,MSGENSCIENCE,2,Science
104292,ESL,1,English
104292,MSGENERALIST,2,GeneralEd
104292,HSMATH,2,Math
104292,MSMATH,2,Math
104292,ARTS,1,Humanities
104292,MUSIC,3,OtherSubjects
104292,SPANISH,3,ForeignLanguage
104292,ENGLISH,1,English
104292,COMPUTERSCI,2,Math
104292,FRENCH,3,ForeignLanguage
104292,HISTORY,1,SocialStudies
104292,SPED,1,GeneralEd
104292,PHYSICS,3,Science
104292,PREK,2,OtherSubjects
104292,BIOLOGY,2,Science
104292,BILINGUAL,3,ForeignLanguage
104292,CHEMISTRY,3,Science
106372,BILINGUAL,3,ForeignLanguage
106372,ELEMENTARY,1,GeneralEd
106372,HSMATH,2,Math
106372,PHYSICS,3,Science
106372,PREK,1,OtherSubjects
106372,MSMATH,2,Math
106372,ESL,3,English
106372,FRENCH,3,ForeignLanguage
106372,MSGENERALIST,2,GeneralEd
106372,SPANISH,3,ForeignLanguage
106372,BIOLOGY,3,Science
106372,CHEMISTRY,3,Science
106372,ARTS,3,Humanities
106372,MSGENSCIENCE,3,Science
106372,COMPUTERSCI,3,Math
106372,SPED,3,GeneralEd
106372,ENGLISH,2,English
106372,MUSIC,3,OtherSubjects
106372,HISTORY,1,SocialStudies
106372,HSGENSCIENCE,3,Science
109300,MSGENSCIENCE,3,Science
109300,MSGENERALIST,1,GeneralEd
109300,PREK,3,OtherSubjects
109300,ELEMENTARY,1,GeneralEd
109300,MSMATH,3,Math
108158,HSMATH,3,Math
108158,ELEMENTARY,1,GeneralEd
108158,MSGENERALIST,2,GeneralEd
108158,PREK,2,OtherSubjects
108158,MSGENSCIENCE,2,Science
108158,MSMATH,3,Math
102327,HSMATH,3,Math
102327,MUSIC,3,OtherSubjects
102327,MSGENSCIENCE,2,Science
102327,PHYSICS,3,Science
102327,MSMATH,3,Math
102327,ENGLISH,2,English
102327,MSGENERALIST,2,GeneralEd
102327,HSGENSCIENCE,2,Science
102327,BILINGUAL,3,ForeignLanguage
102327,SPED,1,GeneralEd
102327,ELEMENTARY,1,GeneralEd
102327,ESL,2,English
102327,COMPUTERSCI,3,Math
102327,HISTORY,2,SocialStudies
102327,FRENCH,3,ForeignLanguage
102327,SPANISH,2,ForeignLanguage
102327,ARTS,3,Humanities
102327,CHEMISTRY,2,Science
102327,BIOLOGY,3,Science
102327,PREK,2,OtherSubjects
100363,HISTORY,1,SocialStudies
100363,ENGLISH,1,English
100363,PREK,3,OtherSubjects
100363,HSMATH,3,Math
100363,COMPUTERSCI,2,Math
100363,MUSIC,3,OtherSubjects
100363,BILINGUAL,3,ForeignLanguage
100363,FRENCH,3,ForeignLanguage
100363,SPED,2,GeneralEd
100363,ESL,3,English
100363,BIOLOGY,3,Science
100363,HSGENSCIENCE,3,Science
100363,ARTS,3,Humanities
100363,SPANISH,3,ForeignLanguage
100363,MSMATH,3,Math
100363,CHEMISTRY,3,Science
100363,MSGENERALIST,2,GeneralEd
100363,PHYSICS,3,Science
100363,MSGENSCIENCE,2,Science
100363,ELEMENTARY,2,GeneralEd
107522,MUSIC,3,OtherSubjects
107522,HSMATH,3,Math
107522,ESL,1,English
107522,MSGENERALIST,3,GeneralEd
107522,MSGENSCIENCE,2,Science
107522,COMPUTERSCI,3,Math
107522,HISTORY,3,SocialStudies
107522,ARTS,3,Humanities
107522,PHYSICS,3,Science
107522,MSMATH,3,Math
107522,BILINGUAL,3,ForeignLanguage
107522,SPED,2,GeneralEd
107522,HSGENSCIENCE,3,Science
107522,ELEMENTARY,1,GeneralEd
107522,PREK,1,OtherSubjects
107522,SPANISH,3,ForeignLanguage
107522,ENGLISH,3,English
107522,BIOLOGY,3,Science
107522,CHEMISTRY,3,Science
107522,FRENCH,3,ForeignLanguage
103699,HSMATH,3,Math
103699,PREK,1,OtherSubjects
103699,FRENCH,3,ForeignLanguage
103699,HISTORY,1,SocialStudies
103699,ENGLISH,2,English
103699,ELEMENTARY,2,GeneralEd
103699,COMPUTERSCI,3,Math
103699,HSGENSCIENCE,3,Science
103699,BIOLOGY,3,Science
103699,ESL,3,English
103699,BILINGUAL,3,ForeignLanguage
103699,PHYSICS,3,Science
103699,SPANISH,3,ForeignLanguage
103699,MUSIC,3,OtherSubjects
103699,MSGENERALIST,1,GeneralEd
103699,ARTS,3,Humanities
103699,MSMATH,3,Math
103699,MSGENSCIENCE,2,Science
103699,CHEMISTRY,3,Science
103699,SPED,2,GeneralEd
108612,MSGENERALIST,2,GeneralEd
108612,HSGENSCIENCE,2,Science
108612,BILINGUAL,3,ForeignLanguage
108612,COMPUTERSCI,3,Math
108612,MSGENSCIENCE,2,Science
108612,ARTS,2,Humanities
108612,CHEMISTRY,3,Science
108612,HISTORY,3,SocialStudies
108612,PREK,1,OtherSubjects
108612,ESL,3,English
108612,SPANISH,3,ForeignLanguage
108612,ENGLISH,2,English
