PERSONID,REGION_CODE,REGION_Pref_Level,REGION_Pref_Rank
101102,422,1,3
101102,NA,2,4
101102,406,2,1
101102,404,2,5
101102,426,1,5
101102,424,1,4
101102,421,2,2
101102,427,2,6
101102,439,1,1
106158,434,1,3
106158,406,2,4
106158,401,1,3
106158,415,2,5
106158,421,2,3
106158,444,3,2
106158,443,3,1
106158,430,1,1
106158,438,1,2
106158,411,1,4
106158,438,2,2
106158,437,2,1
106158,413,2,4
107174,410,3,5
107174,438,1,2
107174,414,3,8
107174,429,3,6
107174,400,3,4
107174,402,3,10
107174,437,3,3
107174,435,3,11
107174,444,3,8
107174,443,3,7
107174,438,1,1
107794,426,3,3
107794,405,3,4
107794,422,1,2
107794,404,3,1
107794,407,2,4
107794,402,2,2
107794,424,2,1
107794,439,3,2
107794,410,2,3
107794,423,1,1
109130,441,1,2
109130,436,1,3
109130,413,3,3
109130,429,1,1
109130,427,3,1
109130,409,3,4
109130,442,3,6
109130,433,3,5
109130,432,2,1
109130,430,3,2
103412,418,3,1
103412,412,3,2
103412,446,2,3
103412,446,2,1
103412,444,3,5
103412,404,1,2
103412,408,1,1
103412,424,3,4
103412,439,2,2
103412,407,3,3
107836,424,2,2
107836,410,2,3
107836,407,2,1
107836,422,2,3
107836,426,2,3
107836,427,3,1
107836,423,1,1
107836,403,2,4
107836,417,2,4
107836,433,3,2
101901,438,2,4
101901,414,3,7
101901,406,2,5
101901,404,3,10
101901,443,3,8
101901,409,1,2
101901,419,1,3
101901,438,1,1
101901,423,3,9
101901,433,3,6
100795,409,2,1
100795,417,3,2
100795,439,3,1
100795,405,3,3
100795,424,2,1
100795,402,3,1
100795,404,3,1
100795,410,2,1
100795,423,2,1
100795,403,1,1
109598,427,2,3
109598,434,3,1
109598,NA,2,1
109598,413,2,1
109598,431,1,1
109598,415,2,2
109598,421,3,1
109598,400,3,2
109598,406,2,2
109598,418,3,1
103375,403,1,2
103375,400,2,2
103375,429,2,1
103375,430,3,1
103375,438,2,2
103375,404,2,3
103375,434,3,1
103375,409,1,1
103375,410,1,2
103375,437,2,4
108049,446,3,8
108049,423,1,1
108049,424,1,3
108049,404,1,5
108049,411,3,9
108049,400,3,10
108049,422,2,6
108049,407,1,2
108049,418,3,7
108049,405,1,4
102009,426,2,2
102009,424,1,1
102009,419,2,1
102009,422,2,3
102009,405,1,2
102009,429,1,1
102009,408,3,2
102009,406,3,1
102009,NA,1,1
102009,420,2,1
102009,410,1,2
102009,432,2,1
102009,404,1,2
102009,NA,2,1
102009,403,2,1
101441,422,3,5
101441,417,3,8
101441,410,3,2
101441,407,3,6
101441,404,1,1
101441,426,3,10
101441,424,3,4
101441,423,3,3
101441,402,3,9
101441,439,3,7
101317,404,1,1
101317,402,3,2
101317,423,1,2
101317,439,2,3
101317,433,3,5
101317,410,2,1
101317,434,3,3
101317,406,3,4
101317,407,2,2
101317,424,3,1
109456,410,3,1
109456,411,1,3
109456,NA,2,3
109456,421,2,1
109456,442,1,1
109456,438,1,4
109456,433,1,2
109456,413,2,2
109456,403,2,3
109456,423,3,2
106006,454,3,2
106006,421,3,2
106006,406,3,2
106006,434,1,1
106006,433,3,2
106006,440,3,2
106006,435,3,2
106006,435,3,2
106006,415,3,2
106006,413,3,2
100880,440,3,1
100880,427,3,1
100880,430,3,1
100880,417,3,1
100880,407,3,3
100880,402,3,1
100880,408,3,1
100880,NA,3,2
100880,429,3,4
100880,403,1,1
107384,411,2,1
107384,442,1,5
107384,435,2,2
107384,436,1,1
107384,433,3,1
107384,405,2,3
107384,NA,1,4
107384,429,1,2
107384,409,1,3
107384,454,3,2
100803,429,1,4
100803,421,2,1
100803,446,3,1
100803,404,3,1
100803,409,2,1
100803,NA,1,3
100803,417,1,2
100803,NA,1,3
100803,432,1,4
100803,433,3,1
100803,411,3,1
100803,403,1,1
107846,419,2,1
107846,NA,2,1
107846,404,2,1
107846,407,2,1
107846,423,1,1
107846,426,3,1
107846,402,3,1
107846,439,2,1
107846,406,3,1
107846,422,1,2
109105,435,1,2
109105,437,2,2
109105,444,1,3
109105,434,2,1
109105,436,1,2
109105,401,1,2
109105,441,1,1
109105,427,2,3
109105,443,3,1
109105,429,3,1
109105,409,1,2
109105,435,2,1
109105,406,2,2
100619,400,3,1
100619,443,3,1
100619,410,2,1
100619,402,1,1
100619,414,2,2
100619,426,1,2
100619,437,2,1
100619,438,1,2
100619,438,2,3
100619,424,2,1
102627,442,3,1
102627,430,2,2
102627,410,1,3
102627,433,2,1
102627,409,1,2
102627,407,1,3
102627,404,2,2
102627,452,1,3
102627,439,1,1
102627,441,2,1
107969,432,3,2
107969,429,3,9
107969,403,3,7
107969,423,1,1
107969,417,3,6
107969,411,3,3
107969,436,3,4
107969,NA,3,5
107969,NA,3,8
107969,422,3,10
103435,446,3,3
103435,415,2,4
103435,438,2,1
103435,412,3,2
103435,454,2,3
103435,434,1,2
103435,408,1,1
103435,406,1,3
103435,444,2,2
103435,411,3,1
107214,422,1,2
107214,407,3,3
107214,437,3,5
107214,424,1,1
107214,410,3,1
107214,404,3,4
107214,439,3,3
107214,402,3,2
107214,426,3,2
107214,423,2,1
101177,404,2,3
101177,408,3,1
101177,429,2,2
101177,422,1,5
101177,405,3,1
101177,NA,1,1
101177,411,3,2
101177,403,1,2
101177,446,1,4
101177,407,2,1
101177,417,1,3
101177,433,2,2
109343,408,2,4
109343,429,1,1
109343,418,3,1
109343,410,1,4
109343,424,2,1
109343,402,2,3
109343,403,2,2
109343,409,1,2
109343,404,1,3
109343,412,2,5
105460,406,3,1
105460,442,1,1
105460,414,3,1
105460,416,1,1
105460,411,1,2
105460,448,2,1
105460,NA,2,1
105460,413,3,1
105460,423,2,1
105460,436,3,1
101835,414,2,3
101835,442,1,2
101835,404,2,1
101835,448,3,3
101835,407,2,2
101835,408,3,3
101835,401,3,1
101835,NA,1,4
101835,400,1,3
101835,NA,2,1
101835,438,1,1
101835,434,2,2
101835,439,3,1
101835,420,3,3
101835,411,2,3
100194,419,1,3
100194,414,1,2
100194,435,3,1
100194,427,2,1
100194,433,3,1
100194,416,2,1
100194,NA,1,1
100194,421,2,1
100194,413,1,2
100194,400,1,1
108725,422,1,1
108725,432,2,1
108725,419,2,1
108725,411,2,1
108725,402,2,1
108725,436,2,1
108725,410,2,1
108725,409,3,1
108725,424,1,1
108725,427,3,1
102550,437,2,1
102550,418,2,1
102550,429,3,1
102550,446,2,1
102550,404,2,1
102550,438,2,1
102550,426,3,1
102550,438,2,1
102550,446,1,1
102550,410,2,1
101560,407,2,2
101560,412,2,1
101560,423,1,2
101560,439,1,2
101560,404,1,1
101560,424,2,1
101560,410,2,1
101560,411,2,3
101560,443,2,2
101560,432,2,3
107747,423,1,2
107747,NA,1,1
107747,405,3,10
107747,432,3,9
107747,NA,2,8
107747,424,2,6
107747,417,1,3
107747,403,1,4
107747,439,2,7
107747,407,1,5
103861,437,2,2
103861,410,2,1
103861,438,3,2
103861,411,1,1
103861,419,3,4
103861,446,2,1
103861,438,3,3
103861,400,1,1
103861,443,3,5
103861,NA,2,1
101865,435,3,9
101865,443,3,1
101865,444,3,4
101865,421,3,6
101865,400,3,5
101865,411,3,7
101865,401,3,8
101865,437,3,3
101865,438,1,1
101865,438,3,2
101523,423,3,1
101523,435,3,1
101523,NA,3,1
101523,400,1,2
101523,411,2,4
101523,438,1,4
101523,421,1,5
101523,402,2,1
101523,442,3,1
101523,404,1,1
101523,434,1,3
101523,417,3,1
101523,431,2,2
101523,435,3,1
101523,429,2,3
101887,434,3,6
101887,423,3,4
101887,411,3,8
101887,426,1,2
101887,407,3,10
101887,431,3,9
101887,422,3,5
101887,437,3,7
101887,438,1,1
101887,402,1,3
108024,407,3,8
108024,410,1,3
108024,402,1,4
108024,433,3,7
108024,424,1,2
108024,448,3,10
108024,422,1,1
108024,423,1,1
108024,404,2,5
108024,426,3,6
100814,405,2,1
100814,402,1,2
100814,404,3,2
100814,NA,2,3
100814,418,3,1
100814,403,1,3
100814,415,3,3
100814,410,1,1
100814,424,1,4
100814,407,2,2
103535,404,2,1
103535,419,3,1
103535,432,1,1
103535,409,2,1
103535,443,1,1
103535,NA,3,1
103535,437,2,1
103535,421,1,1
103535,406,2,1
103535,411,1,1
105617,417,1,1
105617,438,3,2
105617,NA,3,3
105617,442,3,4
105617,402,3,1
105617,416,2,4
105617,406,2,3
105617,430,2,2
105617,413,2,1
105617,403,1,2
109137,420,2,2
109137,409,3,1
109137,436,1,4
109137,NA,2,3
109137,418,2,2
109137,438,2,1
109137,452,1,2
109137,441,1,1
109137,440,2,3
109137,437,2,2
109137,444,1,3
103654,402,2,5
103654,433,2,6
103654,427,3,8
103654,421,1,3
103654,438,1,2
103654,434,1,3
103654,419,2,4
103654,436,3,7
103654,443,1,1
103654,414,1,2
108788,438,3,1
108788,430,2,2
108788,403,2,4
108788,416,3,1
108788,427,1,2
108788,409,2,2
108788,435,2,1
108788,432,1,1
108788,NA,3,1
108788,429,1,1
103118,424,3,5
103118,454,3,8
103118,413,3,2
103118,400,3,3
103118,414,3,7
103118,434,3,6
103118,442,3,1
103118,433,3,9
103118,411,3,4
103118,406,1,1
109670,448,1,5
109670,434,3,2
109670,407,1,2
109670,423,2,4
109670,439,1,1
109670,424,1,4
109670,446,3,1
109670,422,2,2
109670,402,1,3
109670,446,2,1
109670,410,2,3
109670,404,1,1
102865,409,3,3
102865,400,3,3
102865,418,3,1
102865,413,3,2
102865,427,3,1
102865,408,3,4
102865,406,1,1
102865,434,3,2
102865,402,3,2
102865,431,3,2
104618,440,3,1
104618,411,3,1
104618,406,3,1
104618,435,3,1
104618,442,3,1
104618,454,3,1
104618,435,3,1
104618,413,1,1
104618,433,3,1
104618,430,3,1
101526,437,3,7
101526,433,3,10
101526,438,2,5
101526,403,3,8
101526,438,2,4
101526,402,2,2
101526,410,2,3
101526,404,1,1
101526,413,2,6
101526,NA,3,9
109200,430,1,1
109200,443,2,2
109200,409,1,1
109200,410,2,1
109200,444,3,1
109200,439,2,1
109200,400,1,1
109200,436,3,1
109200,406,2,2
109200,404,2,1
108226,404,2,6
108226,406,3,8
108226,410,1,5
108226,405,3,9
108226,402,1,4
108226,439,1,1
108226,424,1,2
108226,407,1,3
108226,423,2,7
108226,403,3,10
109630,418,3,3
109630,403,3,4
109630,404,3,5
109630,415,3,4
109630,407,2,1
109630,417,3,1
109630,405,2,4
109630,423,1,1
109630,424,2,2
109630,420,2,3
109630,422,1,2
104625,400,2,5
104625,434,2,3
104625,421,2,2
104625,438,2,2
104625,402,2,4
104625,435,3,1
104625,442,2,4
104625,410,2,3
104625,413,1,1
104625,403,2,4
108711,424,1,1
108711,402,2,5
108711,410,1,2
108711,407,1,3
108711,426,2,7
108711,422,2,6
108711,405,3,8
108711,404,1,4
108711,439,2,6
108711,423,1,3
107509,437,1,2
107509,446,1,2
107509,438,1,1
107509,442,2,1
107509,433,3,1
107509,411,2,1
107509,419,2,1
107509,438,1,2
107509,443,3,1
107509,446,1,1
105661,409,1,1
105661,431,2,1
105661,418,2,1
105661,429,1,2
105661,410,2,1
105661,434,3,2
105661,NA,1,1
105661,413,3,1
105661,NA,1,2
105661,432,2,2
105661,417,1,1
105661,415,2,1
104292,416,1,2
104292,NA,1,4
104292,432,1,1
104292,430,2,1
104292,452,3,2
104292,406,2,3
104292,409,2,2
104292,436,1,5
104292,427,1,3
104292,429,3,1
106372,404,2,1
106372,429,3,2
106372,402,3,1
106372,419,1,4
106372,406,2,3
106372,403,1,5
106372,423,1,3
106372,427,2,2
106372,424,2,4
106372,410,1,1
106372,417,1,2
107643,NA,1,3
107643,435,2,3
107643,409,1,4
107643,437,1,1
107643,448,3,1
107643,432,2,2
107643,438,1,6
107643,407,2,1
107643,440,1,5
107643,404,3,1
107643,441,1,2
104539,411,3,7
104539,413,1,1
104539,NA,3,2
104539,406,3,5
104539,436,3,3
104539,416,3,9
104539,442,3,8
104539,415,3,4
104539,440,3,6
104539,431,3,2
109300,440,2,2
109300,406,1,3
109300,442,2,1
109300,413,1,2
109300,435,3,1
109300,433,2,4
109300,454,2,5
109300,419,3,2
109300,411,2,3
109300,430,1,1
109059,424,1,3
109059,407,1,3
109059,435,2,1
109059,439,1,2
109059,412,2,1
109059,443,2,2
109059,404,1,1
109059,434,2,3
109059,415,3,1
109059,438,2,1
106564,437,3,1
106564,416,3,1
106564,408,3,1
106564,418,1,1
106564,452,3,2
106564,429,3,1
106564,431,3,1
106564,NA,3,1
106564,446,3,1
106564,NA,3,1
106421,400,2,5
106421,426,3,10
106421,419,1,1
106421,430,2,3
106421,432,2,2
106421,410,2,4
106421,NA,3,9
106421,409,3,6
106421,417,3,7
106421,402,3,8
100495,424,2,3
100495,411,3,2
100495,410,2,1
100495,427,3,3
100495,400,3,5
100495,402,1,1
100495,404,3,6
100495,423,2,2
100495,405,3,1
100495,432,3,4
108158,434,1,1
108158,435,1,1
108158,452,1,1
108158,400,1,1
108158,444,1,1
108158,446,1,1
108158,432,1,1
108158,446,1,1
108158,401,1,1
108158,424,1,1
108158,431,1,1
108158,427,1,1
108158,430,1,1
108158,407,1,1
108158,415,1,1
108158,416,1,1
108158,438,1,1
108158,403,1,1
108158,443,1,1
108158,404,1,1
108158,442,1,1
108158,406,1,1
108158,402,1,1
108158,421,1,1
108158,414,1,1
108158,409,1,1
108158,405,1,1
108158,429,1,1
108158,418,1,1
108158,412,1,1
108158,413,1,1
108158,411,1,1
108158,417,1,1
108158,NA,1,1
108158,438,1,1
108158,441,1,1
108158,454,1,1
108158,410,1,1
108158,448,1,1
108158,440,1,1
108158,433,1,1
108158,426,1,1
108158,408,1,1
108158,422,1,1
108158,NA,1,1
108158,420,1,1
108158,439,1,1
108158,423,1,1
108158,NA,1,1
108158,436,1,1
108158,435,1,1
108158,419,1,1
108158,437,1,1
106337,438,3,2
106337,400,2,7
106337,406,2,6
106337,434,2,8
106337,414,1,2
106337,421,1,5
106337,437,3,10
106337,438,1,3
106337,411,1,4
106337,419,1,1
103688,434,3,1
103688,439,1,1
103688,404,1,1
103688,429,1,2
103688,403,1,2
103688,NA,2,1
103688,419,2,2
103688,438,2,2
103688,430,2,2
103688,411,1,3
103688,421,2,3
106781,413,1,2
106781,400,2,1
106781,434,1,3
106781,438,1,1
106781,421,3,3
106781,414,2,2
106781,411,3,2
106781,433,3,1
106781,435,2,3
106781,419,2,4
105282,432,2,3
105282,438,1,3
105282,421,2,1
105282,NA,3,1
105282,430,1,4
105282,406,1,1
105282,416,1,1
105282,427,2,2
105282,413,1,2
105282,400,3,1
102327,434,3,1
102327,446,1,1
102327,454,3,1
102327,420,3,1
102327,406,3,1
102327,446,3,1
102327,412,3,1
102327,418,3,1
102327,424,3,1
102327,433,3,1
100363,421,3,2
100363,413,2,3
100363,400,1,1
100363,429,1,2
100363,438,2,4
100363,NA,2,5
100363,414,2,2
100363,404,1,3
100363,419,2,1
100363,438,3,1
100421,400,2,2
100421,410,1,1
100421,431,3,3
100421,403,3,3
100421,446,3,2
100421,429,3,1
100421,411,3,2
100421,438,3,3
100421,NA,3,3
100421,402,2,1
107522,437,1,3
107522,414,2,2
107522,413,3,1
107522,421,1,1
107522,438,1,5
107522,NA,2,1
107522,443,1,4
107522,411,2,3
107522,401,3,2
107522,434,1,2
103699,NA,2,2
103699,435,3,2
103699,406,3,1
103699,430,2,1
103699,434,2,3
103699,413,1,3
103699,432,1,5
103699,421,1,4
103699,400,1,2
103699,411,1,1
108612,408,3,1
108612,439,1,4
108612,410,2,4
108612,422,1,2
108612,407,2,3
108612,426,1,3
108612,424,1,1
108612,402,2,2
108612,448,1,5
108612,432,2,1
104565,434,2,2
104565,430,1,2
104565,437,3,1
104565,407,2,3
104565,432,1,4
104565,NA,1,3
104565,413,1,5
104565,404,2,1
104565,406,1,1
104565,433,3,2
107926,435,3,10
107926,432,3,9
107926,403,3,8
107926,410,3,6
107926,446,3,5
107926,423,1,1
107926,422,3,1
107926,405,3,3
107926,424,3,2
107926,446,3,4
106971,438,2,2
106971,437,3,8
106971,421,1,1
106971,424,3,4
106971,435,3,11
106971,407,3,3
106971,438,3,9
106971,443,3,6
106971,411,3,7
106971,409,3,5
106971,430,3,10
104992,NA,3,1
104992,409,1,3
104992,419,2,1
104992,413,3,1
104992,411,2,1
104992,427,2,1
104992,438,3,1
104992,421,2,1
104992,403,1,2
104992,414,1,1
106350,NA,1,5
106350,413,1,6
106350,423,2,3
106350,432,3,1
106350,421,2,1
106350,403,2,3
106350,438,1,3
106350,400,1,2
106350,427,3,1
106350,406,1,4
106350,419,1,1
106350,429,2,1
106350,424,2,2
106350,417,1,7
106350,411,1,5
102692,402,3,9
102692,410,3,8
102692,439,3,6
102692,407,1,1
102692,426,3,7
102692,423,2,2
102692,404,2,5
102692,437,3,10
102692,422,2,3
102692,424,2,4
103806,NA,2,8
103806,403,2,7
103806,438,3,9
103806,446,3,9
103806,400,3,9
103806,413,3,9
103806,434,3,9
103806,431,3,9
103806,411,1,1
103806,443,3,9
106529,416,2,1
106529,437,3,4
106529,422,2,2
106529,441,3,1
106529,439,2,1
106529,423,2,2
106529,418,1,2
106529,436,3,1
106529,405,3,3
106529,409,1,1
106529,432,1,1
104886,403,2,3
104886,414,1,1
104886,410,3,1
104886,NA,2,2
104886,405,2,1
104886,409,1,4
104886,411,3,1
104886,438,1,1
104886,421,2,3
104886,417,1,1
109817,410,1,1
109817,405,2,3
109817,402,2,2
109817,446,3,10
109817,403,3,10
109817,439,3,10
109817,404,2,2
109817,424,3,10
109817,426,3,10
109817,407,3,10
102341,410,3,1
102341,408,1,1
102341,446,1,1
102341,434,2,3
102341,405,2,1
102341,406,2,2
102341,415,2,3
102341,423,2,1
102341,412,2,2
102341,411,3,1
104708,423,2,6
104708,427,2,8
104708,410,2,7
104708,433,3,10
104708,444,3,9
104708,412,1,1
104708,404,1,3
104708,421,1,2
104708,432,1,5
104708,409,1,4
102334,418,3,1
102334,446,2,2
102334,NA,3,1
102334,438,2,5
102334,421,2,4
102334,412,2,1
102334,408,2,3
102334,405,2,6
102334,446,1,1
102334,400,3,3
100422,402,1,1
100422,405,2,1
100422,438,3,1
100422,424,3,1
100422,400,3,1
100422,411,3,1
100422,410,1,1
100422,406,3,1
100422,431,2,1
100422,413,3,1
109342,403,1,2
