PERSONID,Applicant_Pool,UNIV_Selectivity,UNIV_Major,Candidate_Strength,Low_IncomeComm_Ex,Low_IncomeComm_Ex_L,Mission_KNWL_ALNMT,FastApp,ESSAY_Length,ESSAY_T1,ESSAY_T2,ESSAY_T3,ESSAY_T4,ESSAY_T5,ESSAY_T6,ESSAY_T7,ESSAY_T8,ESSAY_T9,ESSAY_T10,MATCH_REGION_CODE,MATCH_Subject,MATCH_is_home_region,MATCH_is_UNIV_Region,MATCH_is_Current_Region,MATCH_District,MATCH_School,MATCH_School_Type,MATCH_Grade_Level,MATCH_Y1_subject_group,OUTCOME_1_Confirmed,OUTCOME_2_StartTeaching,OUTCOME_3_Complet_Y1,OC_Satisfaction_Y1,OUTCOME_4_Complet_Y2,OC_Satisfaction_Y2,MATCH_Region_Pref_Level,MATCH_Region_Pref_Rank,MATCH_Subject_Prefer
103079,B,Selective,English,0.77643555,Y,LEVEL1,2,1,1520,0.002868104,0.002867865,0.002867914,0.002867281,0.226847574,0.002867622,0.002867885,0.512010396,0.002868044,0.24106729,406,ENGLISH,FALSE,FALSE,FALSE,Partner 539,School 0512,Traditional Public School,MIDDLE,English,1,1,1,6,1,6.5,1,1,1
104453,A,More Selective,Education (elementary),0.81068736,Y,LEVEL3,3.5,0,1863,0.002441874,0.301460087,0.064829394,0.002441812,0.002442092,0.00244214,0.002442045,0.105560623,0.002442151,0.51349777,413,HSMATH,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,2,2,2
100365,A,Selective,Psychology,0.79898129,Y,LEVEL3,4,1,1868,0.142674834,0.00345627,0.003456111,0.003456418,0.209537357,0.003456314,0.003456524,0.003456206,0.068900049,0.558149874,400,ENGLISH,TRUE,TRUE,TRUE,Partner 261,School 0196,Traditional Public School,6,English,1,1,1,6,1,6,1,1,1
100138,A,Less Selective,English,0.69260246,Y,LEVEL3,4,1,1730,0.075451843,0.003033942,0.003033568,0.003033369,0.003033992,0.003033818,0.037968695,0.865343451,0.003033794,0.003033559,444,ENGLISH,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,1,1,0,NA,0,NA,1,1,1
103030,B,Least Selective,Public Administration,0.71763738,Y,LEVEL2,3,1,1990,0.001724963,0.001725259,0.001725217,0.001724849,0.001724956,0.416823536,0.275170445,0.00172503,0.133672461,0.163983271,406,ENGLISH,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,1,1,2
101302,A,More Selective,Economics,0.85846453,Y,LEVEL3,4.5,0,2439,0.001588526,0.783855796,0.203434899,0.001588496,0.001588634,0.001588735,0.001588718,0.001588704,0.001588855,0.001588675,404,MSMATH,FALSE,FALSE,FALSE,Partner 327,School 0212,Traditional Public School,MIDDLE,Math,1,1,1,2.25,0,NA,1,1,1
109857,B,Least Selective,Political Science,0.68271207,Y,LEVEL3,4,0,1733,0.115540385,0.202605844,0.002132423,0.002132267,0.342736721,0.002132189,0.002132228,0.002132528,0.002132293,0.326323122,410,MSMATH,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,1,1,1
103685,B,Less Selective,Criminology,0.77630058,Y,LEVEL3,4,0,1700,0.524528921,0.002503128,0.002503124,0.002503234,0.002503244,0.100229815,0.002503109,0.175290748,0.184931457,0.002503161,411,HISTORY,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,1,1,0,NA,0,NA,1,2,1
108466,A,Most Selective,Sociology,0.78770067,Y,LEVEL3,3,0,1330,0.003126056,0.805784285,0.003126106,0.003125678,0.003126052,0.003126011,0.003125778,0.169208065,0.003126021,0.003125945,423,ELEMENTARY,TRUE,FALSE,FALSE,Partner 068,School 0390,Charter School,MIDDLE,Social Studies,1,1,1,1.25,1,NA,1,1,1
109503,A,Selective,Political Science,0.79238202,Y,LEVEL3,4.5,0,1722,0.282836437,0.002858981,0.002859093,0.0028587730000000002,0.239646614,0.457504034,0.002858783,0.002859362,0.002858761,0.002859117,431,ENGLISH,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,1,1,1
108346,B,Least Selective,Business,0.85206734,Y,LEVEL3,3.5,0,1610,0.274596244,0.003574213,0.264827162,0.134405151,0.304724067,0.00357446,0.003574476,0.003574987,0.003574605,0.003574661,423,SPED,FALSE,TRUE,TRUE,Partner 054,School 0145,Traditional Public School,6,General Ed,1,1,1,7,1,7,1,1,1
103091,B,Selective,Political Science,0.80699487,Y,LEVEL2,3.5,0,1617,0.580679834,0.00271136,0.266403764,0.055691388,0.08095412,0.002711805,0.002711877,0.002711997,0.002712207,0.002711619,406,MSGENERALIST,FALSE,TRUE,FALSE,Partner 263,School 0005,Traditional Public School,MIDDLE,English,1,1,1,4.5,1,5.25,1,1,1
105741,B,Least Selective,Statistics,0.62325916,Y,LEVEL3,4,0,2213,0.002175524,0.319957465,0.002175248,0.198037341,0.253899544,0.002175433,0.002175256,0.002175404,0.002175015,0.215053707,417,HSMATH,FALSE,FALSE,TRUE,Partner 442,School 1522,Charter School,MIDDLE,Math,1,1,1,5.5,1,NA,NA,NA,0
107041,A,Selective,Business,0.71177526,Y,LEVEL3,3.5,1,1545,0.238817304,0.002567484,0.19279325,0.315777361,0.204257473,0.002567292,0.002567486,0.035517436,0.002567405,0.002567538,421,HSMATH,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,1,1,1
101605,A,Least Selective,Organizational Studies,0.73916573,Y,LEVEL3,4.5,0,664,0.005883715,0.005883361,0.005884038,0.152571037,0.282630891,0.005883229,0.005883468,0.523612678,0.005883427,0.005884117,438,HSGENSCIENCE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,1,1,0,NA,0,NA,1,1,1
102596,B,More Selective,English,0.67369586,N,LEVEL2,2.5,0,1244,0.003451202,0.003451369,0.204687282,0.18309401,0.050253287,0.003451376,0.269676507,0.003451732,0.003451143,0.27503210300000003,407,ELEMENTARY,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,1,1,1
101438,B,Most Selective,Ethnic Studies,0.92612425,Y,LEVEL3,5,0,1820,0.562682152,0.114648968,0.00215099,0.002150732,0.00215095,0.002150859,0.107845716,0.002151126,0.201917693,0.002150792,404,ENGLISH,FALSE,FALSE,TRUE,Partner 571,School 1709,Charter School,MIDDLE,Social Studies,1,1,1,6.75,1,6,1,1,1
102355,B,More Selective,Early Childhood Education,0.78820508,Y,LEVEL3,3.5,1,1621,0.0037053,0.003705464,0.003705192,0.003705057,0.003705296,0.003705586,0.586025953,0.003705426,0.003705113,0.384331644,446,SPANISH,FALSE,TRUE,FALSE,Partner 002,School 0505,Traditional Public School,PREK-K,General Ed,1,1,1,6,0,NA,1,1,3
108353,B,Least Selective,Business,0.68782598,N,LEVEL2,3,1,1664,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,423,SPED,TRUE,TRUE,TRUE,0,0,0,0,0,1,1,1,NA,1,6,1,1,2
101935,B,More Selective,Urban Studies,0.75708181,Y,LEVEL3,3,0,1213,0.00400213,0.332439631,0.00400247,0.004002669,0.004002391,0.004002978,0.004002729,0.635538578,0.004003098,0.004003375,405,ELEMENTARY,TRUE,TRUE,TRUE,Partner 056,School 1424,Traditional Public School,UPPER ELEMENTARY (3-5),Social Studies,1,1,1,5.25,0,NA,1,1,1
100306,B,Less Selective,Marketing,0.80288731,Y,LEVEL3,4.5,1,1024,0.318005443,0.004362841,0.00436273,0.004362582,0.00436285,0.476364613,0.004361934,0.119333729,0.060120374,0.004362939,400,ELEMENTARY,TRUE,TRUE,TRUE,Partner 261,School 0961,Traditional Public School,UPPER ELEMENTARY (3-5),General Ed,1,1,1,6,1,6,1,1,2
104511,B,More Selective,Spanish,0.69138704,Y,LEVEL3,4,0,1789,0.267722905,0.221713886,0.002704096,0.079107873,0.41523087,0.002704058,0.002704173,0.002704016,0.002703971,0.002704212,413,HSGENSCIENCE,FALSE,FALSE,FALSE,Partner 192,School 2168,Traditional Public School,HIGH,Science,1,1,1,6.25,1,5.5,1,1,1
108891,B,Selective,Psychology,0.78266132,Y,LEVEL3,3.5,0,2456,0.001755869,0.001755707,0.001755759,0.266563982,0.546070576,0.0017557,0.001755912,0.001755742,0.085259423,0.091571331,427,ELEMENTARY,TRUE,TRUE,TRUE,Partner 399,School 0930,Traditional Public School,6,Social Studies,1,1,1,7,1,7,1,2,3
109793,A,Most Selective,Biology,0.73730774,Y,LEVEL3,4.5,0,1795,0.400480896,0.298174798,0.002050387,0.002050368,0.002050368,0.178513035,0.00205071,0.002050507,0.110528268,0.002050629,410,BIOLOGY,FALSE,FALSE,FALSE,Partner 525,School 2520,Traditional Public School,HIGH,Science,1,1,1,5.5,1,6,1,1,1
105230,A,More Selective,History,0.91750741,Y,LEVEL2,4,0,1729,0.477586806,0.238174513,0.215898588,0.051186848,0.002858999,0.002858729,0.002858678,0.002859101,0.002858789,0.002858989,416,ENGLISH,TRUE,TRUE,TRUE,Partner 550,School 0306,Traditional Public School,HIGH,English,1,1,1,5,1,7,1,3,1
103919,B,Least Selective,English,0.74834012,Y,LEVEL3,4.5,1,2110,0.001667962,0.001668029,0.001667896,0.001667908,0.001667905,0.546967387,0.299537659,0.001667884,0.141819328,0.00166808,411,ENGLISH,TRUE,TRUE,TRUE,Partner 496,School 1108,Charter School,MIDDLE,English,1,1,1,7,0,NA,1,1,1
100752,A,Most Selective,Sociology,0.7099961,Y,LEVEL3,4,0,1543,0.002779725,0.091653638,0.002779859,0.002779839,0.002779996,0.306413025,0.294703633,0.063832611,0.229497612,0.002780095,403,SPED,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,2,2,2
105558,B,Less Selective,Child Development,0.70480841,Y,LEVEL3,4.5,0,1789,0.003031833,0.00303269,0.00303182,0.00303222,0.003031884,0.784868836,0.190874964,0.00303217,0.003031672,0.003031951,417,PREK,TRUE,TRUE,TRUE,Partner 229,School 2742,Charter School,UPPER ELEMENTARY (3-5),General Ed,1,1,1,6,1,2,1,1,2
103285,B,Least Selective,Political Science,0.80583839,Y,LEVEL3,4.5,1,770,0.005007175,0.408329844,0.551614344,0.005006236,0.005006889,0.00500729,0.005006331,0.00500711,0.005007396,0.00500741,409,SPED,TRUE,TRUE,TRUE,Missing Data,School 0926,Missing Data,MIDDLE,General Ed,1,1,1,5.5,1,5,1,1,3
100411,A,Most Selective,Neuroscience,0.88309655,Y,LEVEL3,4,0,2129,0.374821395,0.299353838,0.001728953,0.001729106,0.139228314,0.001729116,0.001728919,0.001729162,0.176222235,0.001728932,402,CHEMISTRY,FALSE,TRUE,TRUE,Partner 224,School 0458,Traditional Public School,HIGH,Science,1,1,1,5,1,5.75,1,1,1
109771,A,Most Selective,Individual Studies,0.68989676,Y,LEVEL2,3.5,0,1836,0.002226296,0.28645432,0.002226146,0.00222581,0.002226041,0.532265186,0.002226298,0.002225952,0.165697873,0.002226079,410,MSMATH,FALSE,FALSE,FALSE,Partner 147,School 1153,Traditional Public School,MIDDLE,Math,1,1,1,5.25,1,5,1,1,1
109508,A,Least Selective,Human Development,0.76914781,Y,LEVEL3,4,0,1732,0.193426207,0.002129515,0.002129331,0.002129086,0.002129239,0.63905853,0.002129245,0.15260981,0.002129697,0.002129322,431,PREK,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,1,1,1
107918,A,Selective,Education (elementary),0.73894822,Y,LEVEL3,5,0,2261,0.273812473,0.001962207,0.00196234,0.001962451,0.178612635,0.385757804,0.150042862,0.001962409,0.001962314,0.001962462,423,SPED,TRUE,TRUE,TRUE,Partner 583,School 0733,Charter School,UPPER ELEMENTARY (3-5),Math,1,1,1,5.25,1,4.25,1,2,3
101102,A,More Selective,Education (elementary),0.72675224,Y,LEVEL2,4,0,1643,0.406598032,0.157213688,0.058081731,0.040772051,0.001760265,0.200966686,0.001760394,0.001760402,0.129326284,0.001760479,403,ELEMENTARY,FALSE,FALSE,FALSE,Partner 119,School 0436,Traditional Public School,LOWER ELEMENTARY (1-2),English,1,1,1,5,1,5.25,1,2,1
106158,A,More Selective,Spanish,0.86540264,Y,LEVEL3,5,0,1691,0.10478323,0.002385526,0.443994552,0.002385081,0.002385526,0.113647051,0.002385373,0.32326296,0.002385275,0.002385392,434,SPANISH,TRUE,TRUE,TRUE,Partner 473,School 0158,Charter School,HIGH,Foreign Language,1,1,1,6.25,1,6.5,1,3,1
107174,A,Less Selective,Social Work,0.83343626,N,LEVEL2,3,0,1766,0.002501356,0.343637913,0.002501416,0.145912811,0.002501408,0.002501583,0.002501194,0.394057482,0.002501044,0.10138379,438,ELEMENTARY,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,1,1,0,NA,0,NA,1,1,1
107794,A,More Selective,Education (special),0.85296154,Y,LEVEL3,5,0,2502,0.432108611,0.002130514,0.247855544,0.002130522,0.305122048,0.002130574,0.002130749,0.002130435,0.002130595,0.00213045,423,SPED,TRUE,TRUE,TRUE,Partner 054,School 0882,Charter School,MIDDLE,Math,1,1,1,6.25,1,NA,1,1,1
109130,A,More Selective,Education (special),0.63689233,Y,LEVEL3,4,0,1689,0.311183006,0.535351336,0.002386559,0.136760846,0.00238647,0.002386251,0.002386195,0.002386349,0.002386536,0.002386401,441,HISTORY,FALSE,FALSE,FALSE,0,0,0,0,0,1,1,1,NA,1,6.5,1,2,1
103412,A,Most Selective,Public Policy,0.74858617,N,LEVEL1,2.5,0,1984,0.345286965,0.001962743,0.392134011,0.064309388,0.097223163,0.001963252,0.001963074,0.001962687,0.091232233,0.001962459,408,ELEMENTARY,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,1,1,1
107836,B,More Selective,Business,0.95804753,Y,LEVEL3,5,0,1796,0.002179275,0.653141737,0.002179419,0.046659533,0.248887718,0.002179293,0.002179433,0.002179304,0.038235143,0.002179149,423,SPED,FALSE,FALSE,FALSE,Partner 009,School 0719,Traditional Public School,UPPER ELEMENTARY (3-5),General Ed,1,1,1,4.75,1,4.75,1,1,3
101901,A,More Selective,Education (elementary),0.77735762,Y,LEVEL3,4.5,0,1545,0.003031894,0.003031969,0.00303177,0.003031587,0.369190454,0.606554747,0.0030317400000000002,0.003032184,0.003031606,0.003032012,438,ELEMENTARY,TRUE,TRUE,TRUE,Partner 435,School 1743,Traditional Public School,LOWER ELEMENTARY (1-2),General Ed,1,1,1,5.25,1,5.5,1,1,1
100795,B,Most Selective,Environmental Studies,0.89710123,Y,LEVEL3,5,0,2752,0.001334301,0.747861505,0.134074077,0.001334234,0.001334261,0.097309455,0.012749067,0.001334229,0.001334469,0.001334397,403,ELEMENTARY,TRUE,FALSE,TRUE,Partner 185,School 0260,Traditional Public School,UPPER ELEMENTARY (3-5),English,1,1,1,5.75,1,4.75,1,1,1
109598,B,More Selective,Psychology,0.71120707,Y,LEVEL3,3.5,1,1574,0.002439625,0.002439738,0.002440072,0.002439511,0.002439531,0.611109853,0.369372249,0.002439919,0.002439573,0.002439916,431,PREK,TRUE,TRUE,TRUE,Partner 501,School 1723,Traditional Public School,PREK-K,General Ed,1,1,1,3.25,0,NA,1,1,1
103375,B,More Selective,Theater,0.74452424,Y,LEVEL2,3.5,0,2606,0.130017623,0.042353526,0.257828951,0.099366151,0.001642103,0.00164204,0.152490467,0.00164222,0.311374843,0.001642053,409,ENGLISH,FALSE,FALSE,FALSE,Partner 546,School 1706,Charter School,MIDDLE,English,1,1,1,5.75,1,6,1,1,1
108049,A,More Selective,Early Childhood Education,0.69646038,Y,LEVEL3,4.5,0,2426,0.365282595,0.001493566,0.001493702,0.112526551,0.001493646,0.001493541,0.120209895,0.001493474,0.178800911,0.215712085,423,PREK,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,1,1,0,NA,0,NA,1,1,1
102009,A,More Selective,International Studies/Relations,0.8098052,Y,LEVEL3,4,0,1689,0.276477486,0.618576467,0.002634449,0.086502656,0.002634866,0.002634892,0.002635198,0.002634677,0.002634625,0.002634603,405,SPED,FALSE,FALSE,FALSE,Partner 440,School 1266,Charter School,MIDDLE,Other,1,1,1,6,1,6,1,2,2
101441,A,Most Selective,Environmental Studies,0.68276628,Y,LEVEL2,2,0,1575,0.002635354,0.002635315,0.465453684,0.002635538,0.337928772,0.002635269,0.002635168,0.002635211,0.00263502,0.178170666,404,HSGENSCIENCE,TRUE,TRUE,TRUE,Partner 413,School 0353,Traditional Public School,HIGH,Science,1,1,1,2.75,1,4.25,1,1,2
101317,A,Selective,English,0.679606,Y,LEVEL3,4.5,0,2520,0.199193776,0.001926428,0.001926697,0.001926332,0.00192688,0.280165821,0.001926642,0.001926876,0.00192706,0.507153511,404,ENGLISH,TRUE,TRUE,TRUE,0,0,0,0,0,1,1,1,NA,1,4.25,1,1,1
109456,A,More Selective,English,0.87343292,Y,LEVEL2,3,0,1946,0.002565711,0.600407243,0.098483421,0.002565683,0.00256577,0.002565863,0.002566035,0.002566243,0.283147901,0.002566105,442,SPED,TRUE,TRUE,TRUE,Partner 431,School 2291,Traditional Public School,HIGH,English,1,1,1,5,1,4,1,1,3
106006,A,Most Selective,Latin American Studies,0.86135913,Y,LEVEL3,4,0,2848,0.268319994,0.087519571,0.450797826,0.001636175,0.00163611,0.001635828,0.001635972,0.029246733,0.155935928,0.001635843,434,SPANISH,TRUE,FALSE,FALSE,Partner 003,School 0131,Charter School,HIGH,Foreign Language,1,1,1,7,1,7,1,1,1
100880,A,Most Selective,Spanish,0.71374048,Y,LEVEL3,5,0,1765,0.158751205,0.002569205,0.002568766,0.002568943,0.163632944,0.476633757,0.185566679,0.002569477,0.002569417,0.002569555,403,BILINGUAL,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,1,1,0,NA,0,NA,1,1,2
107384,A,Selective,English,0.73875831,Y,LEVEL1,2,1,1284,0.003127508,0.003127351,0.003127248,0.003127621,0.003127533,0.1669209,0.239671201,0.003127508,0.376451105,0.19819203,436,ENGLISH,FALSE,FALSE,FALSE,Missing Data,School 1520,Missing Data,HIGH,English,1,1,1,6.75,1,6,1,1,1
100803,A,More Selective,History,0.88761779,Y,LEVEL3,5,0,1521,0.002568095,0.48586157,0.002568227,0.002567837,0.002568299,0.389065266,0.002568115,0.002567787,0.107096612,0.002568182,403,HISTORY,TRUE,TRUE,TRUE,Partner 119,School 0169,Traditional Public School,HIGH,Social Studies,1,1,1,6.5,1,6,1,1,1
107846,B,Least Selective,Marketing,0.75962187,Y,LEVEL3,4,0,1620,0.003126668,0.003126495,0.003125808,0.003126717,0.229979262,0.003126358,0.189190045,0.003126023,0.00312596,0.558946669,423,ELEMENTARY,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,1,1,1
109105,A,Least Selective,English,0.89274961,Y,LEVEL3,4,0,1613,0.003034323,0.003034289,0.200110987,0.065476432,0.003034452,0.478981942,0.237224922,0.003034378,0.003033902,0.003034376,441,ENGLISH,FALSE,FALSE,FALSE,Partner 530,School 1416,Bureau of Indian Affairs (BIA) Schools,PREK-K,General Ed,1,1,1,6,1,6.25,1,1,1
100619,A,Selective,Education (elementary),0.81379815,Y,LEVEL3,5,0,2470,0.507332385,0.001371351,0.069795929,0.034639601,0.001371468,0.001371345,0.001371346,0.001371383,0.001371328,0.38000387,402,ELEMENTARY,FALSE,TRUE,TRUE,Partner 224,School 0065,Charter School,LOWER ELEMENTARY (1-2),General Ed,1,1,1,5.75,1,5.25,1,1,1
102627,A,Less Selective,Political Science,0.80286329,Y,LEVEL3,4,1,1273,0.003336161,0.003335382,0.449467808,0.003334934,0.003335458,0.049106102,0.00333501,0.271458805,0.209955096,0.003335257,407,ELEMENTARY,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,1,3,1
107969,B,Most Selective,English,0.82454563,Y,LEVEL2,3,1,1654,0.00256933,0.061721668,0.002569201,0.002568888,0.002569329,0.002569001,0.00256913,0.002569122,0.516729474,0.403564841,423,ENGLISH,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,1,1,0,NA,0,NA,1,1,1
103435,A,Most Selective,Philosophy,0.81153827,N,LEVEL3,3.5,0,1874,0.597169995,0.10334225,0.001936676,0.001936457,0.001936613,0.031616367,0.001936509,0.001936882,0.256251663,0.001936562,408,ELEMENTARY,TRUE,TRUE,TRUE,Partner 253,School 1967,Charter School,MIDDLE,Science,1,1,1,3.5,1,5,1,1,1
